LastStatisticsDate,StatisticsDate,DailyCases,TotalCases,TotalCasesLast14D,PerPopulation
2021-10-02,2020-02-26,1,1,1,0.08
2021-10-02,2020-02-27,0,1,1,0.08
2021-10-02,2020-02-28,0,1,1,0.08
2021-10-02,2020-02-29,0,1,1,0.08
2021-10-02,2020-03-01,0,1,1,0.08
2021-10-02,2020-03-02,1,2,2,0.15
2021-10-02,2020-03-03,0,2,2,0.15
2021-10-02,2020-03-04,1,3,3,0.23
2021-10-02,2020-03-05,7,10,10,0.75
2021-10-02,2020-03-06,0,10,10,0.75
2021-10-02,2020-03-07,0,10,10,0.75
2021-10-02,2020-03-08,0,10,10,0.75
2021-10-02,2020-03-09,3,13,13,0.98
2021-10-02,2020-03-10,2,15,15,1.13
2021-10-02,2020-03-11,3,18,17,1.28
2021-10-02,2020-03-12,40,58,57,4.29
2021-10-02,2020-03-13,43,101,100,7.52
2021-10-02,2020-03-14,23,124,123,9.26
2021-10-02,2020-03-15,75,199,198,14.9
2021-10-02,2020-03-16,25,224,222,16.7
2021-10-02,2020-03-17,22,246,244,18.36
2021-10-02,2020-03-18,28,274,271,20.39
2021-10-02,2020-03-19,28,302,292,21.97
2021-10-02,2020-03-20,13,315,305,22.95
2021-10-02,2020-03-21,41,356,346,26.04
2021-10-02,2020-03-22,13,369,359,27.01
2021-10-02,2020-03-23,24,393,380,28.59
2021-10-02,2020-03-24,75,468,453,34.09
2021-10-02,2020-03-25,55,523,505,38
2021-10-02,2020-03-26,37,560,502,37.77
2021-10-02,2020-03-27,64,624,523,39.35
2021-10-02,2020-03-28,40,664,540,40.63
2021-10-02,2020-03-29,32,696,497,37.4
2021-10-02,2020-03-30,31,727,503,37.85
2021-10-02,2020-03-31,57,784,538,40.48
2021-10-02,2020-04-01,78,862,588,44.24
2021-10-02,2020-04-02,93,955,653,49.14
2021-10-02,2020-04-03,74,1029,714,53.73
2021-10-02,2020-04-04,63,1092,736,55.38
2021-10-02,2020-04-05,11,1103,734,55.23
2021-10-02,2020-04-06,42,1145,752,56.58
2021-10-02,2020-04-07,36,1181,713,53.65
2021-10-02,2020-04-08,23,1204,681,51.24
2021-10-02,2020-04-09,51,1255,695,52.3
2021-10-02,2020-04-10,46,1301,677,50.94
2021-10-02,2020-04-11,5,1306,642,48.31
2021-10-02,2020-04-12,17,1323,627,47.18
2021-10-02,2020-04-13,45,1368,641,48.23
2021-10-02,2020-04-14,27,1395,611,45.98
2021-10-02,2020-04-15,34,1429,567,42.66
2021-10-02,2020-04-16,25,1454,499,37.55
2021-10-02,2020-04-17,53,1507,478,35.97
2021-10-02,2020-04-18,16,1523,431,32.43
2021-10-02,2020-04-19,7,1530,427,32.13
2021-10-02,2020-04-20,17,1547,402,30.25
2021-10-02,2020-04-21,7,1554,373,28.07
2021-10-02,2020-04-22,33,1587,383,28.82
2021-10-02,2020-04-23,15,1602,347,26.11
2021-10-02,2020-04-24,29,1631,330,24.83
2021-10-02,2020-04-25,9,1640,334,25.13
2021-10-02,2020-04-26,4,1644,321,24.15
2021-10-02,2020-04-27,10,1654,286,21.52
2021-10-02,2020-04-28,9,1663,268,20.17
2021-10-02,2020-04-29,23,1686,257,19.34
2021-10-02,2020-04-30,5,1691,237,17.83
2021-10-02,2020-05-01,5,1696,189,14.22
2021-10-02,2020-05-02,1,1697,174,13.09
2021-10-02,2020-05-03,3,1700,170,12.79
2021-10-02,2020-05-04,8,1708,161,12.11
2021-10-02,2020-05-05,2,1710,156,11.74
2021-10-02,2020-05-06,7,1717,130,9.78
2021-10-02,2020-05-07,5,1722,120,9.03
2021-10-02,2020-05-08,8,1730,99,7.45
2021-10-02,2020-05-09,6,1736,96,7.22
2021-10-02,2020-05-10,2,1738,94,7.07
2021-10-02,2020-05-11,5,1743,89,6.7
2021-10-02,2020-05-12,5,1748,85,6.4
2021-10-02,2020-05-13,7,1755,69,5.19
2021-10-02,2020-05-14,8,1763,72,5.42
2021-10-02,2020-05-15,4,1767,71,5.34
2021-10-02,2020-05-16,4,1771,74,5.57
2021-10-02,2020-05-17,9,1780,80,6.02
2021-10-02,2020-05-18,7,1787,79,5.94
2021-10-02,2020-05-19,3,1790,80,6.02
2021-10-02,2020-05-20,6,1796,79,5.94
2021-10-02,2020-05-21,7,1803,81,6.09
2021-10-02,2020-05-22,14,1817,87,6.55
2021-10-02,2020-05-23,2,1819,83,6.25
2021-10-02,2020-05-24,1,1820,82,6.17
2021-10-02,2020-05-25,10,1830,87,6.55
2021-10-02,2020-05-26,6,1836,88,6.62
2021-10-02,2020-05-27,11,1847,92,6.92
2021-10-02,2020-05-28,8,1855,92,6.92
2021-10-02,2020-05-29,6,1861,94,7.07
2021-10-02,2020-05-30,4,1865,94,7.07
2021-10-02,2020-05-31,1,1866,86,6.47
2021-10-02,2020-06-01,0,1866,79,5.94
2021-10-02,2020-06-02,10,1876,86,6.47
2021-10-02,2020-06-03,10,1886,90,6.77
2021-10-02,2020-06-04,20,1906,103,7.75
2021-10-02,2020-06-05,21,1927,110,8.28
2021-10-02,2020-06-06,7,1934,115,8.65
2021-10-02,2020-06-07,1,1935,115,8.65
2021-10-02,2020-06-08,7,1942,112,8.43
2021-10-02,2020-06-09,11,1953,117,8.8
2021-10-02,2020-06-10,7,1960,113,8.5
